"ISO","SPID","adm1_name","vac","pop"
"TCD","TCD_3","Chari-Baguirmi",0.269953879726297,557757.946575164
"TCD","TCD_4","Guera",0.269953879726297,717595.752821079
"TCD","TCD_5","Hadjer-Lamis",0.269953879726297,728183.844812376
"TCD","TCD_6","Kanem",0.269953879726297,797684.060340109
"TCD","TCD_7","Lac",0.269953879726297,584671.038982096
"TCD","TCD_8","Logone Occidental",0.269953879726297,784900.690407183
"TCD","TCD_9","Logone Oriental",0.269953879726297,1150420.81242222
"TGO","TGO_1","Centre",0.901161540441988,756614.482198009
"TGO","TGO_2","Kara",0.851100968985735,945544.903815501
"TGO","TGO_3","Maritime",0.902418531300002,3104438.37783245
"TGO","TGO_4","Plateaux",0.901161540441988,1681324.0492194
"TGO","TGO_5","Savanes",0.851100968985735,1005210.66912769
"TZA","TZA_1","Arusha",0,2111828.14551266
"TZA","TZA_10","Kusini-Pemba",0,228169.353853659
"TZA","TZA_11","Lindi",0,1093274.82349364
"TZA","TZA_12","Manyara",0,1734732.14774233
"TZA","TZA_13","Mara",0,2148608.96817883
"TZA","TZA_14","Mbeya",0,3297370.64037198
"TZA","TZA_15","Morogoro",0,2651598.42822471
"TZA","TZA_16","Mtwara",0,1546075.96996697
"TZA","TZA_17","Mwanza",0,4840942.88241641
"TZA","TZA_18","Pwani",0,1313190.23955008
"TZA","TZA_19","Rukwa",0,1888879.25954561
"TZA","TZA_2","Dar-Es-Salaam",0,5270803.41269073
"TZA","TZA_20","Ruvuma",0,1712714.955472
"TZA","TZA_21","Shinyanga",0,4208133.17790555
"TZA","TZA_22","Singida",0,1695672.87690433
"TZA","TZA_23","Tabora",0,2783072.58293875
"TZA","TZA_24","Tanga",0,2543589.05546628
"TZA","TZA_25","Zanzibar South and Central",0,149663.821714803
"TZA","TZA_3","Dodoma",0,2572127.09279814
"TZA","TZA_4","Iringa",0,2086552.20358101
"TZA","TZA_5","Kagera",0,3460896.97347976
"TZA","TZA_6","Kaskazini-Pemba",0,255283.221672332
"TZA","TZA_7","Kaskazini-Unguja",0,238401.73857052
"TZA","TZA_8","Kigoma",0,2661883.22951723
"TZA","TZA_9","Kilimanjaro",0,2032063.50031165
"UGA","UGA_1","Adjumani",0,337603.146175805
"UGA","UGA_10","Iganga",0,1181823.06188057
"UGA","UGA_11","Jinja",0,647280.903573972
"UGA","UGA_12","Kabale",0,757827.150342813
"UGA","UGA_13","Kabarole",0,597861.379952057
"UGA","UGA_14","Kaberamaido",0,219568.206485084
"UGA","UGA_15","Kalangala",0,50619.8293673927
"UGA","UGA_16","Kampala",0,1983131.20348318
"UGA","UGA_17","Kamuli",0,1177764.29606081
"UGA","UGA_18","Kamwenge",0,439659.507788957
"UGA","UGA_19","Kanungu",0,342454.991236954
"UGA","UGA_2","Apac",0,1145056.80819786
"UGA","UGA_20","Kapchorwa",0,315259.685335431
